Dive.ID,CARD,DROM,FISH,GLRH,HCOR,MTHR,PAGR,PLMN,POLY,XNTH,BIVL,SCOR,AMPH,OPHR,GAST,SIPN,ECHN,DOME,CHIT,STOM,PALN,plastic,glass,metal,rubber,wood,cloth,paper,mixed,other
D1,1,1,1,2,2,10,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,18,0,9,0,0,8,0,0,0
D2,0,0,0,0,2,4,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,18,0,9,0,0,8,0,0,0
D3,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,0,0,0
D4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
D5,0,0,3,2,8,36,1,0,3,0,1,2,1,1,0,0,0,0,0,0,0,24,0,10,0,0,17,0,4,3
D6,0,0,0,0,2,4,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,4,0,0,8,0,0,3
D7,0,0,0,1,26,3,3,0,23,1,0,2,0,14,2,1,0,0,0,0,0,4,1,1,0,5,0,0,1,0
D8,0,0,0,6,10,5,0,0,8,1,7,6,0,0,1,0,0,0,0,0,0,1,1,9,0,1,3,0,0,0
D9,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,4,0,5,0,19,1,0,0,1
D10,0,0,4,4,2,41,1,0,4,2,5,1,0,0,3,0,0,1,0,0,0,45,3,33,0,1,76,0,4,17
D11,0,0,0,2,8,5,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,12,4,8,0,2,17,0,0,2
D12,3,0,0,4,6,4,2,0,7,2,0,3,0,5,6,0,1,0,1,1,0,10,5,7,0,3,11,0,0,3
D13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D14,7,0,0,1,1,6,0,0,19,2,21,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,3
D15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
D16,6,0,0,0,3,12,0,0,6,1,9,2,0,3,5,0,1,0,0,0,2,46,0,5,0,35,0,0,3,0
D17,4,1,0,6,4,9,0,0,1,0,0,0,0,6,1,0,0,0,1,1,0,17,1,3,0,27,2,0,7,1
D18,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,13,0,0,1,0
