"","Code","n","Mean","Median","SE","CI_Lower","CI_Upper","Min","Max"
"1","AMPH",1,3.15e-05,3.15e-05,NA,NA,NA,3.15e-05,3.15e-05
"2","BIVL",49,0.0165024063193659,0.00490327585152829,0.00353917008638307,0.00938642793054011,0.0236183847081916,0.0002675,0.122685634546129
"3","CARD",21,0.000175948704668955,0.000175909528666754,3.04899247799152e-05,0.000112347836068167,0.000239549573269744,2.6646342046754e-05,0.000586383291871754
"4","CHIT",3,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05
"5","DOME",1,1e-05,1e-05,NA,NA,NA,1e-05,1e-05
"6","DROM",2,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05
"7","ECHN",3,8.6e-05,8.6e-05,0,8.6e-05,8.6e-05,8.6e-05,8.6e-05
"8","FISH",8,0.0011945,0.0011945,0,0.0011945,0.0011945,0.0011945,0.0011945
"9","GAST",19,0.000807966865165994,0.000506568006378684,0.000131160939287462,0.000532407956998249,0.00108352577333374,0.000209165304509684,0.00246510757934268
"10","GLRH",28,0.00101009990995343,0.000891932088822336,0.000103623597549439,0.000797481850274024,0.00122271796963285,0.000497,0.0034545733603493
"11","HCOR",80,0.002513,0.002513,0,0.002513,0.002513,0.002513,0.002513
"12","MTHR",139,0.000168252651086813,0.0001395,2.29673801569471e-05,0.000122839168951387,0.00021366613322224,1e-05,0.00305254098944306
"13","OPHR",32,0.000151067517932785,1e-04,1.0848251760273e-05,0.000128942362597814,0.000173192673267755,1e-04,0.000264637291826936
"14","PAGR",16,0.000969133303424091,0.000936019971245247,0.000250892630204176,0.000434368320791102,0.00150389828605708,7.6758388845247e-05,0.00439025153249325
"15","PALN",2,9.8e-05,9.8e-05,0,9.8e-05,9.8e-05,9.8e-05,9.8e-05
"16","PLMN",1,0.000725,0.000725,NA,NA,NA,0.000725,0.000725
"17","POLY",87,0.00221121544407407,0.00210203746481771,0.000174408107571288,0.00186450360118769,0.00255792728696045,0.000137,0.00798463418847202
"18","SCOR",20,0.001623,0.001623,0,0.001623,0.001623,0.001623,0.001623
"19","SIPN",1,0.000474,0.000474,NA,NA,NA,0.000474,0.000474
"20","STOM",2,0.001033,0.001033,0,0.001033,0.001033,0.001033,0.001033
"21","XNTH",10,0.000416,0.000416,0,0.000416,0.000416,0.000416,0.000416
