"","Code","n","Mean","Median","SE","CI_Lower","CI_Upper","Min","Max"
"1","AMPH",1,0.0315,0.0315,NA,NA,NA,0.0315,0.0315
"2","BIVL",49,16.5024063193659,4.90327585152829,3.53917008638307,9.38642793054011,23.6183847081916,0.2675,122.685634546129
"3","CARD",21,0.175948704668955,0.175909528666754,0.0304899247799152,0.112347836068167,0.239549573269744,0.026646342046754,0.586383291871754
"4","CHIT",3,0.01,0.01,0,0.01,0.01,0.01,0.01
"5","DOME",1,0.01,0.01,NA,NA,NA,0.01,0.01
"6","DROM",2,0.01,0.01,0,0.01,0.01,0.01,0.01
"7","ECHN",3,0.086,0.086,0,0.086,0.086,0.086,0.086
"8","FISH",8,1.1945,1.1945,0,1.1945,1.1945,1.1945,1.1945
"9","GAST",19,0.807966865165994,0.506568006378684,0.131160939287462,0.532407956998249,1.08352577333374,0.209165304509684,2.46510757934268
"10","GLRH",28,1.01009990995343,0.891932088822336,0.103623597549439,0.797481850274024,1.22271796963285,0.497,3.4545733603493
"11","HCOR",80,2.513,2.513,0,2.513,2.513,2.513,2.513
"12","MTHR",139,0.168252651086813,0.1395,0.0229673801569471,0.122839168951387,0.21366613322224,0.01,3.05254098944306
"13","OPHR",32,0.151067517932785,0.1,0.010848251760273,0.128942362597814,0.173192673267755,0.1,0.264637291826937
"14","PAGR",16,0.969133303424091,0.936019971245247,0.250892630204176,0.434368320791103,1.50389828605708,0.076758388845247,4.39025153249325
"15","PALN",2,0.098,0.098,0,0.098,0.098,0.098,0.098
"16","PLMN",1,0.725,0.725,NA,NA,NA,0.725,0.725
"17","POLY",87,2.21121544407407,2.10203746481771,0.174408107571288,1.86450360118769,2.55792728696045,0.137,7.98463418847202
"18","SCOR",20,1.623,1.623,0,1.623,1.623,1.623,1.623
"19","SIPN",1,0.474,0.474,NA,NA,NA,0.474,0.474
"20","STOM",2,1.033,1.033,0,1.033,1.033,1.033,1.033
"21","XNTH",10,0.416,0.416,0,0.416,0.416,0.416,0.416
