"","Code","Material.Type","n","Mean","Median","SE","CI_Lower","CI_Upper","Min","Max"
"1","AMPH","unknown",1,3.15e-05,3.15e-05,NA,NA,NA,3.15e-05,3.15e-05
"2","BIVL","metal",5,0.00339158542698275,0.0025991550070158,0.00158998594270173,-0.00102292326096476,0.00780609411493025,0.000629813651548862,0.00939361017441423
"3","BIVL","plastic",27,0.0154324566536157,0.00749400661715225,0.00467151392635559,0.00583002225496163,0.0250348910522698,0.0002675,0.122685634546129
"4","BIVL","unknown",15,0.0224918447459283,0.00170933539896223,0.00773387290889382,0.00590433708488465,0.0390793524069718,0.0002675,0.0845477434046847
"5","BIVL","wood",2,0.0188029908387328,0.0188029908387328,0.00672378992024509,-0.0666308604909289,0.104236842168395,0.0120792009184877,0.0255267807589779
"6","CARD","metal",1,0.000235990308186754,0.000235990308186754,NA,NA,NA,0.000235990308186754,0.000235990308186754
"7","CARD","plastic",3,0.000254217940515087,0.000251479884156754,2.62547063164112e-05,0.00014125305671401,0.000367182824316165,0.000210174348236754,0.000300999589151754
"8","CARD","unknown",17,0.000158604627548003,7.4992594316754e-05,3.6340604553343e-05,8.1565987378467e-05,0.000235643267717539,2.6646342046754e-05,0.000586383291871754
"9","CHIT","unknown",1,1e-05,1e-05,NA,NA,NA,1e-05,1e-05
"10","CHIT","wood",2,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05
"11","DOME","unknown",1,1e-05,1e-05,NA,NA,NA,1e-05,1e-05
"12","DROM","plastic",1,1e-05,1e-05,NA,NA,NA,1e-05,1e-05
"13","DROM","unknown",1,1e-05,1e-05,NA,NA,NA,1e-05,1e-05
"14","ECHN","unknown",2,8.6e-05,8.6e-05,0,8.6e-05,8.6e-05,8.6e-05,8.6e-05
"15","ECHN","wood",1,8.6e-05,8.6e-05,NA,NA,NA,8.6e-05,8.6e-05
"16","FISH","unknown",8,0.0011945,0.0011945,0,0.0011945,0.0011945,0.0011945,0.0011945
"17","GAST","cloth",2,0.000623230658751184,0.000623230658751184,0.0001166626523725,-0.000859108887358977,0.00210557020486135,0.000506568006378684,0.000739893311123684
"18","GAST","metal",1,0.000431,0.000431,NA,NA,NA,0.000431,0.000431
"19","GAST","plastic",1,0.000431,0.000431,NA,NA,NA,0.000431,0.000431
"20","GAST","unknown",12,0.00075298196697043,0.000548184256147342,0.000132752005423293,0.000460796773061358,0.0010451671608795,0.000209165304509684,0.00147121143047368
"21","GAST","wood",3,0.00140237517233546,0.00131101793766368,0.00058897029334537,-0.00113175946806834,0.00393650981273925,0.000431,0.00246510757934268
"22","GLRH","plastic",4,0.000828989656324161,0.00091939829248776,0.000113368217352266,0.000468201391874843,0.00118977792077348,0.000497,0.000980162040321125
"23","GLRH","unknown",23,0.00105860308993888,0.000913509579410519,0.000122758877577444,0.00080401675988489,0.00131318941999287,0.000497,0.0034545733603493
"24","GLRH","wood",1,0.000618967784805302,0.000618967784805302,NA,NA,NA,0.000618967784805302,0.000618967784805302
"25","HCOR","concrete",2,0.002513,0.002513,0,0.002513,0.002513,0.002513,0.002513
"26","HCOR","metal",32,0.002513,0.002513,0,0.002513,0.002513,0.002513,0.002513
"27","HCOR","plastic",21,0.002513,0.002513,0,0.002513,0.002513,0.002513,0.002513
"28","HCOR","unknown",3,0.002513,0.002513,0,0.002513,0.002513,0.002513,0.002513
"29","HCOR","wood",22,0.002513,0.002513,0,0.002513,0.002513,0.002513,0.002513
"30","MTHR","cloth",2,0.00034068991526906,0.00034068991526906,0.000238530880026,-0.00269013228224122,0.00337151211277934,0.00010215903524306,0.00057922079529506
"31","MTHR","concrete",1,0.00029068344146906,0.00029068344146906,NA,NA,NA,0.00029068344146906,0.00029068344146906
"32","MTHR","plastic",1,0.00010465935893306,0.00010465935893306,NA,NA,NA,0.00010465935893306,0.00010465935893306
"33","MTHR","unknown",133,0.000166132153685283,0.0001395,2.37670946393023e-05,0.000119118491303379,0.000213145816067188,1e-05,0.00305254098944306
"34","MTHR","wood",2,0.00010740971499206,0.00010740971499206,2.5253269269e-05,-0.000213463494597603,0.000428282924581723,8.215644572306e-05,0.00013266298426106
"35","OPHR","concrete",2,0.000138960685149468,0.000138960685149468,3.89606851494682e-05,-0.000356081757021316,0.000634003127320252,1e-04,0.000177921370298936
"36","OPHR","metal",1,1e-04,1e-04,NA,NA,NA,1e-04,1e-04
"37","OPHR","plastic",9,0.000173494572877291,0.000203658972578936,1.87751810076298e-05,0.00013019892783449,0.000216790217920092,1e-04,0.000222219743453936
"38","OPHR","unknown",19,0.000147094107771292,1e-04,1.51011235475288e-05,0.000115367824477886,0.000178820391064699,1e-04,0.000264637291826936
"39","OPHR","wood",1,1e-04,1e-04,NA,NA,NA,1e-04,1e-04
"40","PAGR","cloth",2,0.000479537255595247,0.000479537255595247,0.000136407776206,-0.00125368787648449,0.00221276238767498,0.000343129479389247,0.000615945031801247
"41","PAGR","plastic",1,0.000941,0.000941,NA,NA,NA,0.000941,0.000941
"42","PAGR","unknown",13,0.00104661987258423,0.000936019971245247,0.000304999353077312,0.000382083369059177,0.00171115637610928,7.6758388845247e-05,0.00439025153249325
"43","PALN","unknown",2,9.8e-05,9.8e-05,0,9.8e-05,9.8e-05,9.8e-05,9.8e-05
"44","PLMN","unknown",1,0.000725,0.000725,NA,NA,NA,0.000725,0.000725
"45","POLY","cloth",2,0.000137,0.000137,0,0.000137,0.000137,0.000137,0.000137
"46","POLY","concrete",1,0.00170995165130401,0.00170995165130401,NA,NA,NA,0.00170995165130401,0.00170995165130401
"47","POLY","metal",5,0.00409669432809028,0.00468557381359015,0.00100603974658834,0.00130348019804065,0.00688990845813992,0.000137,0.00548766200663556
"48","POLY","plastic",25,0.00234886165545599,0.00229372334308371,0.000198871742842462,0.00193841055145498,0.00275931275945701,0.000137,0.00423564425634247
"49","POLY","unknown",39,0.0021803053103637,0.00210538257439865,0.000261999707572106,0.00164991463140809,0.00271069598931931,0.000137,0.00798463418847202
"50","POLY","wood",15,0.00174365812347365,0.00156903235234647,0.000495047715193631,0.00068188637404222,0.00280542987290507,0.000137,0.00748152447636185
"51","SCOR","concrete",1,0.001623,0.001623,NA,NA,NA,0.001623,0.001623
"52","SCOR","metal",2,0.001623,0.001623,0,0.001623,0.001623,0.001623,0.001623
"53","SCOR","plastic",17,0.001623,0.001623,0,0.001623,0.001623,0.001623,0.001623
"54","SIPN","plastic",1,0.000474,0.000474,NA,NA,NA,0.000474,0.000474
"55","STOM","unknown",2,0.001033,0.001033,0,0.001033,0.001033,0.001033,0.001033
"56","XNTH","cloth",1,0.000416,0.000416,NA,NA,NA,0.000416,0.000416
"57","XNTH","plastic",1,0.000416,0.000416,NA,NA,NA,0.000416,0.000416
"58","XNTH","unknown",8,0.000416,0.000416,0,0.000416,0.000416,0.000416,0.000416
