"","Dive.ID","Material.Type","Code","Length","Width","Median","Weight","Model","Debris._kgs"
"1","D7","cloth","GAST",1.434,0.672,0.431,0.739893311123684,"LLM",119.7483857
"2","D7","cloth","MTHR",0.497,0.433,0.1395,0.10215903524306,"WLM",119.7483857
"3","D7","cloth","PAGR",1.214,0.648,0.941,0.615945031801247,"WLM",119.7483857
"4","D7","cloth","PAGR",0.658,0.521,0.941,0.343129479389247,"WLM",119.7483857
"5","D7","cloth","XNTH",0.438,0.372,0.416,0.416,"MEDIAN",119.7483857
"6","D8","cloth","POLY",NA,NA,0.137,0.137,"Lpower",13.6077711
"7","D8","cloth","POLY",NA,NA,0.137,0.137,"Lpower",13.6077711
"8","D17","cloth","GAST",1.099,1.001,0.431,0.506568006378684,"LLM",116.2557244
"9","D17","cloth","MTHR",1.198,1.387,0.1395,0.57922079529506,"WLM",116.2557244
"10","D7","concrete","HCOR",3.015,2.279,2.513,17.9722421248948,"WPOLY",119.7483857
"11","D7","concrete","OPHR",NA,NA,0.1,0.1,"WLM",119.7483857
"12","D7","concrete","OPHR",2.99,0.053,0.1,0.177921370298936,"WLM",119.7483857
"13","D7","concrete","POLY",1.876,0.175,0.137,1.70995165130401,"Lpower",119.7483857
"14","D7","concrete","SCOR",1.931,1.387,1.623,1.623,"MEDIAN",119.7483857
"15","D11","concrete","HCOR",1.968,NA,2.513,2.513,"WPOLY",27.2155422
"16","D17","concrete","MTHR",0.772,0.81,0.1395,0.29068344146906,"WLM",116.2557244
"17","D1","metal","HCOR",1.851,0.673,2.513,6.74667251352704,"WPOLY",39.91612856
"18","D2","metal","HCOR",4.683,2.89,2.513,23.3847991501405,"WPOLY",37.64816671
"19","D3","metal","HCOR",NA,NA,2.513,2.513,"WPOLY",6.80388555
"20","D3","metal","HCOR",NA,NA,2.513,2.513,"WPOLY",6.80388555
"21","D3","metal","HCOR",NA,NA,2.513,2.513,"WPOLY",6.80388555
"22","D3","metal","HCOR",NA,NA,2.513,2.513,"WPOLY",6.80388555
"23","D4","metal","POLY",8.136,NA,0.137,0.137,"Lpower",3.62873896
"24","D4","metal","POLY",8.136,NA,0.137,0.137,"Lpower",3.62873896
"25","D4","metal","POLY",10.184,NA,0.137,0.137,"Lpower",3.62873896
"26","D4","metal","POLY",10.184,NA,0.137,0.137,"Lpower",3.62873896
"27","D5","metal","HCOR",NA,NA,2.513,2.513,"WPOLY",74.38914868
"28","D6","metal","POLY",NA,NA,0.137,0.137,"Lpower",22.22602613
"29","D7","metal","HCOR",2.621,1.944,2.513,15.2717668612733,"WPOLY",119.7483857
